iter	MultiClass
0	1.219911576
1	1.105445742
2	1.019645862
3	0.9530065563
4	0.8967163163
5	0.8520996305
6	0.8155219791
7	0.7814418676
8	0.7525081477
9	0.7273815313
10	0.7072525825
11	0.6892301369
12	0.6739204469
13	0.6587797818
14	0.6451891741
15	0.6335874856
16	0.6233303098
17	0.6129586251
18	0.6047486034
19	0.5960937979
20	0.5877854033
21	0.5800608398
22	0.5741917899
23	0.5678021557
24	0.5614912306
25	0.5565731025
26	0.5515714021
27	0.5464013061
28	0.5417449647
29	0.5378140208
30	0.5330610261
31	0.529863811
32	0.5259461815
33	0.5233480579
34	0.519867231
35	0.5168819888
36	0.5149034797
37	0.5118856384
38	0.509219982
39	0.5062418682
40	0.5040154749
41	0.5016972665
42	0.4993638836
43	0.496512464
44	0.4938775412
45	0.490898117
46	0.4891955001
47	0.4871697078
48	0.484700015
49	0.4831995331
50	0.4808438167
51	0.4789461635
52	0.477463686
53	0.4747637817
54	0.473300143
55	0.4708040785
56	0.4690264584
57	0.4675962275
58	0.4662176271
59	0.4647656113
60	0.4633016372
61	0.4609162663
62	0.4590306612
63	0.4578712465
64	0.4564040435
65	0.4545668547
66	0.4533257952
67	0.4516609219
68	0.4498781258
69	0.4477205827
70	0.4457538588
71	0.4440557276
72	0.442650787
73	0.4406771258
74	0.4393582137
75	0.4382337116
76	0.4361861421
77	0.4344006724
78	0.4329046031
79	0.4319233866
80	0.4301620468
81	0.4291147275
82	0.4270726418
83	0.4260626153
84	0.4246233381
85	0.4233918071
86	0.4223040304
87	0.4207013285
88	0.4188467538
89	0.4164030899
90	0.4151965672
91	0.4143069298
92	0.4128564265
93	0.4109380956
94	0.4093622216
95	0.4085075606
96	0.4070953183
97	0.4061236974
98	0.404612795
99	0.4029736937
100	0.4017241779
101	0.4002774865
102	0.3990131508
103	0.3972339187
104	0.3958422342
105	0.3946026422
106	0.3934866844
107	0.3921869892
108	0.3906758411
109	0.3897369676
110	0.3883324045
111	0.3873420516
112	0.3862553261
113	0.3855151403
114	0.3842012753
115	0.3826208955
116	0.381876647
117	0.3805193238
118	0.3798436563
119	0.3790967261
120	0.3782781509
121	0.3772742285
122	0.37639718
123	0.3748906412
124	0.373689589
125	0.3724864905
126	0.3718855568
127	0.3707584289
128	0.3695411455
129	0.3685933467
130	0.3669393512
131	0.3662642415
132	0.3651927093
133	0.3638563626
134	0.3628435731
135	0.3614343179
136	0.3603830216
137	0.359148399
138	0.3580933461
139	0.3572915927
140	0.356418312
141	0.3556747162
142	0.3552071964
143	0.3540888478
144	0.3529047796
145	0.351796043
146	0.3508731502
147	0.3503956055
148	0.3494028577
149	0.3477236432
150	0.3467435527
151	0.3455578712
152	0.3447698492
153	0.3434742033
154	0.3425734017
155	0.3418987677
156	0.3410991514
157	0.3397880308
158	0.3391438417
159	0.3384218338
160	0.3378768824
161	0.3370243379
162	0.3357883606
163	0.3350903859
164	0.3342324636
165	0.3330336592
166	0.3317642647
167	0.3311339118
168	0.3303070714
169	0.3286375166
170	0.3274826917
171	0.3266953305
172	0.3260168797
173	0.3251687981
174	0.3238761618
175	0.3231531233
176	0.3218530421
177	0.3205945504
178	0.3195234806
179	0.3188348661
180	0.3180157387
181	0.316640648
182	0.315497046
183	0.3145550491
184	0.3138242464
185	0.3130212008
186	0.3121256865
187	0.3114415149
188	0.3104348048
189	0.3100337032
190	0.3089493731
191	0.3082455422
192	0.3075056555
193	0.3062369044
194	0.3054002081
195	0.3044052785
196	0.3037215119
197	0.3030232218
198	0.3019358246
199	0.3009941288
200	0.3002784635
201	0.2996947818
