iter	Passed	Remaining
0	227	68097
1	283	42199
2	335	33211
3	385	28528
4	451	26615
5	504	24719
6	555	23241
7	616	22498
8	670	21672
9	719	20858
10	771	20274
11	837	20101
12	931	20574
13	1037	21195
14	1116	21208
15	1169	20765
16	1229	20462
17	1286	20160
18	1346	19915
19	1395	19542
20	1445	19201
21	1506	19040
22	1562	18818
23	1610	18524
24	1664	18309
25	1721	18142
26	1810	18303
27	1870	18171
28	1927	18008
29	1978	17807
30	2026	17582
31	2084	17455
32	2134	17267
33	2179	17054
34	2240	16967
35	2303	16895
36	2348	16695
37	2397	16531
38	2447	16380
39	2498	16237
40	2550	16113
41	2610	16033
42	2680	16020
43	2755	16034
44	2813	15940
45	2855	15766
46	2915	15694
47	2972	15606
48	3025	15495
49	3069	15346
50	3134	15304
51	3199	15256
52	3270	15242
53	3340	15218
54	3393	15117
55	3437	14977
56	3500	14922
57	3550	14814
58	3609	14742
59	3678	14712
60	3747	14682
61	3794	14564
62	3851	14490
63	3902	14389
64	3947	14270
65	3996	14171
66	4042	14058
67	4099	13985
68	4139	13859
69	4183	13746
70	4245	13692
71	4318	13675
72	4375	13605
73	4433	13539
74	4492	13478
75	4550	13411
76	4607	13343
77	4674	13303
78	4764	13327
79	4816	13244
80	4869	13166
81	4931	13109
82	5000	13072
83	5055	13000
84	5113	12934
85	5186	12904
86	5282	12932
87	5362	12919
88	5436	12889
89	5527	12897
90	5614	12895
91	5686	12855
92	5753	12806
93	5808	12729
94	5874	12677
95	5952	12648
96	6013	12584
97	6065	12502
98	6119	12424
99	6170	12340
100	6219	12254
101	6282	12196
102	6362	12169
103	6428	12116
104	6486	12047
105	6537	11964
106	6591	11888
107	6641	11806
108	6695	11731
109	6748	11656
110	6821	11614
111	6904	11590
112	6974	11541
113	7034	11476
114	7089	11404
115	7155	11349
116	7212	11280
117	7356	11346
118	7495	11400
119	7587	11381
120	7651	11319
121	7704	11241
122	7778	11193
123	7847	11137
124	7932	11104
125	7998	11046
126	8056	10975
127	8110	10898
128	8166	10824
129	8218	10746
130	8265	10663
131	8316	10584
132	8361	10499
133	8410	10418
134	8461	10342
135	8529	10285
136	8607	10240
137	8665	10171
138	8719	10100
139	8778	10032
140	8842	9971
141	8891	9893
142	8941	9816
143	8990	9739
144	9042	9666
145	9106	9605
146	9170	9544
147	9273	9523
148	9370	9496
149	9523	9523
150	9584	9457
151	9637	9384
152	9696	9315
153	9767	9260
154	9821	9188
155	9877	9118
156	9930	9045
157	10009	8996
158	10120	8974
159	10185	8912
160	10245	8845
161	10292	8767
162	10339	8690
163	10397	8622
164	10457	8555
165	10518	8490
166	10576	8422
167	10639	8359
168	10681	8279
169	10722	8199
170	10768	8123
171	10812	8046
172	10873	7982
173	10948	7928
174	11005	7861
175	11063	7794
176	11110	7720
177	11160	7649
178	11220	7584
179	11278	7518
180	11325	7446
181	11384	7381
182	11446	7318
183	11494	7246
184	11545	7176
185	11603	7111
186	11661	7046
187	11705	6973
188	11759	6906
189	11813	6839
190	11861	6768
191	11928	6709
192	11999	6652
193	12058	6588
194	12109	6520
195	12157	6450
196	12200	6379
197	12276	6324
198	12363	6275
199	12425	6212
200	12492	6153
201	12550	6088
202	12616	6028
203	12667	5961
204	12718	5893
205	12762	5823
206	12809	5754
207	12859	5687
208	12898	5615
209	12944	5547
210	12993	5480
211	13036	5411
212	13084	5344
213	13135	5278
214	13193	5216
215	13257	5155
216	13310	5091
217	13363	5026
218	13419	4963
219	13466	4896
220	13513	4830
221	13564	4765
222	13625	4704
223	13700	4648
224	13761	4587
225	13813	4523
226	13861	4457
227	13920	4396
228	13993	4338
229	14048	4275
230	14097	4210
231	14164	4151
232	14249	4097
233	14319	4038
234	14374	3976
235	14417	3909
236	14478	3848
237	14576	3797
238	14843	3788
239	15034	3758
240	15121	3701
241	15217	3647
242	15297	3588
243	15388	3531
244	15469	3472
245	15530	3409
246	15593	3346
247	15675	3286
248	15846	3245
249	15924	3184
250	15978	3119
251	16034	3054
252	16123	2995
253	16234	2940
254	16371	2889
255	16480	2832
256	16625	2781
257	16761	2728
258	16877	2671
259	16947	2607
260	17014	2542
261	17121	2483
262	17224	2423
263	17322	2362
264	17430	2302
265	17529	2240
266	17607	2176
267	17679	2110
268	17748	2045
269	17836	1981
270	17954	1921
271	18019	1854
272	18076	1787
273	18144	1721
274	18252	1659
275	18365	1596
276	18432	1530
277	18488	1463
278	18557	1396
279	18633	1330
280	18688	1263
281	18769	1198
282	18858	1132
283	18923	1066
284	18991	999
285	19083	934
286	19164	868
287	19323	805
288	19421	739
289	19475	671
290	19546	604
291	19632	537
292	19711	470
293	19785	403
294	19842	336
295	19890	268
296	19933	201
297	19996	134
298	20070	67
299	20118	0
