iter	MultiClass
0	1.322406127
1	1.267779538
2	1.219900636
3	1.177075224
4	1.138577858
5	1.104824439
6	1.072894476
7	1.04295537
8	1.015354775
9	0.9905279815
10	0.9674289272
11	0.9463121035
12	0.9273212545
13	0.9089340216
14	0.8922808645
15	0.8746249668
16	0.8598624987
17	0.8449888834
18	0.8319476811
19	0.8195801341
20	0.8066174444
21	0.7959397974
22	0.7862168832
23	0.7759989149
24	0.7658524656
25	0.7558715142
26	0.7465313416
27	0.7375168464
28	0.7301352897
29	0.7227564771
30	0.7151327511
31	0.7083275992
32	0.7011995603
33	0.6957862225
34	0.6895127778
35	0.6837040437
36	0.6785214822
37	0.6732105689
38	0.6678021909
39	0.6627268539
40	0.6574717046
41	0.6538681833
42	0.6494402156
43	0.6460477182
44	0.6422046969
45	0.6385344687
46	0.6337962932
47	0.6302612788
48	0.6255997536
49	0.6220428025
50	0.6183703182
51	0.6153055147
52	0.6125375988
53	0.6086018357
54	0.6058932284
55	0.6030895525
56	0.6009060732
57	0.5983557313
58	0.5955593591
59	0.5929984478
60	0.5898280801
61	0.5877982682
62	0.5847695235
63	0.5828438573
64	0.5802362072
65	0.5788316649
66	0.5767285493
67	0.5740432597
68	0.5719451806
69	0.5696389342
70	0.5679532097
71	0.5660877385
72	0.5647864327
73	0.5631925038
74	0.5613538676
75	0.5593692996
76	0.55791055
77	0.5560775123
78	0.5549359966
79	0.5534853372
80	0.5514731321
81	0.5498184195
82	0.5472263375
83	0.5458355144
84	0.5445471086
85	0.5425782991
86	0.5409636247
87	0.5392713519
88	0.5376203738
89	0.5362115797
90	0.5349354763
91	0.5329846253
92	0.5315464451
93	0.530399239
94	0.5292569194
95	0.5280311
96	0.5266830245
97	0.5252939387
98	0.5240624729
99	0.5231582438
100	0.5217197218
101	0.5210301479
102	0.5202957368
103	0.5191586203
104	0.5180212323
105	0.5171306026
106	0.5158420454
107	0.5150658655
108	0.514263996
109	0.5132416958
110	0.5125135265
111	0.5113983354
112	0.5105020975
113	0.5097367281
114	0.508683417
115	0.5078611796
116	0.5069358678
117	0.5059052601
118	0.5052561775
119	0.504574968
120	0.5038762273
121	0.5030915984
122	0.5022600752
123	0.5015587661
124	0.5006755871
125	0.5001390134
126	0.4991474236
127	0.4985366644
128	0.4980358622
129	0.4968073551
130	0.4961980852
131	0.4955757499
132	0.4946434156
133	0.493836153
134	0.4929530593
135	0.4918270159
136	0.4911117973
137	0.4904200786
138	0.4896055823
139	0.4886623966
140	0.4879640996
141	0.4871912829
142	0.4865792792
143	0.485834833
144	0.4853191508
145	0.4847627042
146	0.4843052382
147	0.4836148855
148	0.4831746428
149	0.4824581688
150	0.4820114981
151	0.48156289
152	0.4808723432
153	0.4804125092
154	0.4799177672
155	0.4794627307
156	0.4787797848
157	0.4783862728
158	0.4779614141
159	0.4770263887
160	0.4761504746
161	0.475397307
162	0.4748249274
163	0.4745400957
164	0.4741631662
165	0.4737039054
166	0.4732573044
167	0.472959819
168	0.4726543276
169	0.4719926755
170	0.4715668947
171	0.4712314765
172	0.4708323677
173	0.4702475523
174	0.4695197281
175	0.468557668
176	0.4676448934
177	0.4674542513
178	0.4671431646
179	0.4668906335
180	0.4665286078
181	0.4660596319
182	0.4656721443
183	0.4651817695
184	0.4647287091
185	0.4643664315
186	0.4639495226
187	0.4633305917
188	0.4630172768
189	0.4626265901
190	0.4622714457
191	0.4619896818
192	0.4614871417
193	0.4608065172
194	0.4605009074
195	0.4599921343
196	0.4596630059
197	0.4593375037
198	0.4590996872
199	0.4588920221
200	0.4585296246
201	0.4578756818
202	0.4572871726
203	0.4568962947
204	0.4565959212
205	0.4558997412
206	0.4554392545
207	0.4552078579
208	0.4549031683
209	0.4546288192
210	0.4542626007
211	0.4537403373
212	0.4535036203
213	0.452938518
214	0.4525371019
215	0.4521552467
216	0.4517713299
217	0.451426282
218	0.451180683
219	0.4507765543
220	0.4504881553
221	0.4499339151
222	0.4496468338
223	0.4494819254
224	0.4488781391
225	0.4485791815
226	0.4483355611
227	0.4480962694
228	0.4477425066
229	0.4474132148
230	0.4470891009
231	0.4467562434
232	0.4464504958
233	0.4462479434
234	0.4459359063
235	0.4455244217
236	0.4450360987
237	0.444713385
238	0.4445286783
239	0.4443255938
240	0.4441925772
241	0.4440663485
242	0.4436500191
243	0.4433989843
244	0.4431733082
245	0.4429009251
246	0.4426748748
247	0.4423692902
248	0.4421139254
249	0.4418898194
250	0.4417197699
251	0.4413025528
252	0.4409669827
253	0.4407576264
254	0.4405210357
255	0.4402651716
256	0.4399673182
257	0.4396616285
258	0.4393771805
259	0.4391799601
260	0.4391063222
261	0.4388711853
262	0.4386058318
263	0.4383147752
264	0.4379188759
265	0.4377171069
266	0.4375584518
267	0.4372723451
268	0.4369478724
269	0.4364564845
270	0.4362138442
271	0.4358284835
272	0.435639823
273	0.4354479949
274	0.4352025534
275	0.4346042209
276	0.4343709758
277	0.4339517169
278	0.433738713
279	0.4334506827
280	0.4330898109
281	0.4328173687
282	0.4325190481
283	0.4322412978
284	0.4320105807
285	0.4318173614
286	0.4316019434
287	0.4314099264
288	0.4309083811
289	0.4306612991
290	0.4303242722
291	0.4301936494
292	0.4300564365
293	0.4298851319
294	0.4297587475
295	0.429537612
296	0.4293792279
297	0.4291376298
298	0.4288035414
299	0.4283645002
