iter	Passed	Remaining
0	246	73726
1	413	61632
2	605	59986
3	855	63283
4	1300	76708
5	1457	71416
6	1633	68382
7	1830	66802
8	2007	64922
9	2185	63371
10	2377	62463
11	2559	61421
12	2742	60542
13	2945	60182
14	3183	60486
15	3435	60971
16	3619	60253
17	3902	61131
18	4115	60868
19	4325	60553
20	4659	61906
21	4907	62017
22	5160	62146
23	5389	61984
24	5601	61612
25	5844	61587
26	6111	61796
27	6349	61679
28	6528	61003
29	6717	60459
30	6930	60134
31	7308	61205
32	7908	63988
33	8311	65027
34	8801	66638
35	8988	65916
36	9164	65145
37	9369	64598
38	9575	64079
39	9792	63648
40	9961	62928
41	10118	62158
42	10279	61438
43	10407	60555
44	10555	59814
45	10700	59085
46	10944	58911
47	11121	58389
48	11342	58102
49	11518	57594
50	11681	57033
51	11830	56420
52	11976	55816
53	12168	55432
54	12316	54865
55	12470	54337
56	12597	53704
57	12760	53241
58	12928	52810
59	13079	52318
60	13264	51969
61	13438	51587
62	13638	51306
63	13789	50847
64	13949	50431
65	14070	49887
66	14225	49471
67	14404	49143
68	14582	48820
69	14742	48440
70	14902	48064
71	15041	47631
72	15162	47149
73	15311	46763
74	15460	46380
75	15637	46088
76	15827	45838
77	16045	45666
78	16195	45306
79	16324	44893
80	16473	44539
81	16631	44216
82	16815	43963
83	16949	43584
84	17114	43288
85	17271	42977
86	17445	42711
87	17611	42428
88	17767	42122
89	17915	41802
90	18083	41531
91	18325	41432
92	18533	41251
93	18804	41210
94	19030	41065
95	19267	40943
96	19413	40629
97	19606	40412
98	19786	40173
99	19933	39866
100	20133	39669
101	20256	39321
102	20411	39038
103	20570	38767
104	20789	38609
105	21006	38445
106	21254	38337
107	21405	38054
108	21603	37856
109	21895	37819
110	22106	37640
111	22374	37557
112	22562	37337
113	22730	37086
114	22962	36940
115	23574	37393
116	24119	37725
117	24464	37732
118	24605	37424
119	24813	37220
120	24985	36961
121	25165	36717
122	25349	36479
123	25488	36177
124	25700	35980
125	25894	35759
126	26138	35606
127	26312	35356
128	26547	35191
129	26819	35071
130	27005	34838
131	27187	34602
132	27339	34328
133	27519	34091
134	27704	33860
135	27913	33659
136	28140	33481
137	28288	33208
138	28461	32966
139	28645	32737
140	28806	32484
141	28992	32258
142	29209	32069
143	29413	31865
144	29571	31610
145	29732	31362
146	29900	31120
147	30092	30906
148	30216	30622
149	30382	30382
150	30513	30109
151	30700	29892
152	30856	29646
153	31037	29424
154	31178	29166
155	31313	28904
156	31487	28680
157	31677	28469
158	31881	28272
159	32094	28082
160	32267	27857
161	32465	27655
162	32619	27416
163	32748	27157
164	32886	26907
165	33054	26682
166	33205	26445
167	33368	26218
168	33500	25968
169	33649	25732
170	33788	25489
171	33977	25285
172	34144	25065
173	34357	24879
174	34536	24668
175	34787	24509
176	35067	24369
177	35279	24180
178	35528	24016
179	35687	23791
180	35932	23624
181	36158	23443
182	36374	23255
183	36668	23116
184	36892	22933
185	37024	22692
186	37186	22471
187	37352	22252
188	37470	22006
189	37608	21773
190	37763	21551
191	37916	21327
192	38087	21115
193	38271	20911
194	38400	20677
195	38556	20458
196	38682	20224
197	38848	20012
198	39032	19810
199	39164	19582
200	39331	19372
201	39495	19161
202	39661	18951
203	39828	18743
204	39972	18523
205	40307	18392
206	40686	18279
207	40801	18046
208	40952	17831
209	41109	17618
210	41263	17405
211	41476	17216
212	41650	17011
213	41832	16811
214	41959	16588
215	42118	16379
216	42293	16176
217	42495	15984
218	42631	15767
219	42813	15568
220	42964	15358
221	43154	15162
222	43323	14959
223	43444	14740
224	43610	14536
225	43753	14326
226	43923	14125
227	44128	13935
228	44295	13733
229	44451	13528
230	44603	13323
231	44768	13121
232	44969	12931
233	45098	12720
234	45254	12517
235	45421	12317
236	45612	12124
237	45767	11922
238	45912	11718
239	46049	11512
240	46204	11311
241	46407	11122
242	46614	10934
243	46771	10734
244	46893	10527
245	47047	10327
246	47211	10130
247	47388	9936
248	47535	9736
249	47671	9534
250	47825	9336
251	48002	9143
252	48159	8946
253	48290	8745
254	48444	8549
255	48576	8349
256	48817	8167
257	49060	7986
258	49243	7795
259	49367	7595
260	49475	7392
261	49627	7197
262	49777	7002
263	49957	6812
264	50127	6620
265	50283	6427
266	50409	6230
267	50587	6040
268	50740	5847
269	50930	5658
270	51048	5462
271	51250	5275
272	51414	5084
273	51585	4894
274	51742	4703
275	51921	4514
276	52044	4321
277	52233	4133
278	52385	3942
279	52521	3751
280	52670	3561
281	52822	3371
282	52957	3181
283	53127	2993
284	53269	2803
285	53416	2614
286	53582	2427
287	53756	2239
288	53966	2054
289	54130	1866
290	54272	1678
291	54398	1490
292	54532	1302
293	54676	1115
294	54805	928
295	54962	742
296	55088	556
297	55257	370
298	55422	185
299	55578	0
